cohort,cross_count,expected_action,expected_state,family,legacy_cost,legacy_state,necessary_cost,observed_action,observed_state,pass,permutation_equal,same_count,seed
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104230
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104231
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104232
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104233
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104234
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104235
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104236
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104237
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104238
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104239
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104240
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104241
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104242
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104243
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104244
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104245
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104246
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104247
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104248
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104249
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104250
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104251
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104252
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104253
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104254
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104255
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104256
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104257
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104258
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104259
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104260
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104261
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104262
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104263
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104264
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104265
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104266
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104267
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104268
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104269
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104270
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104271
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104272
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104273
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104274
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104275
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104276
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104277
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104278
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104279
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104280
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104281
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104282
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104283
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104284
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104285
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104286
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104287
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104288
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104289
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104290
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104291
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104292
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104293
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104294
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104295
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104296
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104297
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104298
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104299
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104300
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104301
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104302
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104303
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104304
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104305
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104306
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104307
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104308
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104309
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104310
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104311
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104312
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104313
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104314
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104315
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104316
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104317
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104318
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104319
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104320
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104321
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104322
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104323
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104324
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104325
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104326
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104327
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104328
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,17.333896105178457,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105201
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,18.683589821559075,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105202
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,15.996763815439719,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105203
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,17.455508002997764,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105204
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,20.005071427516967,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105205
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,16.936251735398095,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105206
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,24.35436148956565,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105207
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,25.72831973896329,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105208
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,19.180058288297637,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105209
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,15.079595383133784,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105210
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,15.64078142397119,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105211
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,24.407383197607068,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105212
PRIMARY,1,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,D1,,NO_IDENTIFYING_INFORMATION_CHANNEL,24.250002869829036,decisive,ACQUIRE_DECISION_RELEVANT_EVIDENCE_BUDGET_NOT_RULED_OUT_BY_CONVERSE,True,,1,105213
